trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,15.180701500037685,15.180701500037685,0.03742820001207292,[-0.41574074074074074],[-0.35833333333333334],[1],[0],[0],[1.825299699907191],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
1,0,1,0,10,17.031150500057265,17.031150500057265,0.028263999964110553,[0.3907407407407407],[-0.08888888888888889],[1],[0],[0],[1.3612696999916807],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
2,0,2,0,5,18.40656220004894,18.40656220004894,0.014239600044675171,[-0.001851851851851852],[0.17777777777777778],[1],[0],[0],[1.1000292000826448],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
3,0,3,0,10,19.531304100062698,19.531304100062698,0.020313899964094162,[0.1787037037037037],[0.46111111111111114],[1],[0],[0],[1.3436913999030367],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
4,0,4,0,10,20.89892659999896,20.89892659999896,0.021769999992102385,[-0.44814814814814813],[0.42407407407407405],[1],[0],[0],[1.2925307999830693],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
5,0,5,0,10,22.217159799998626,22.217159799998626,0.022076499997638166,[0.2574074074074074],[-0.06666666666666667],[1],[0],[0],[1.3254708000458777],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
6,0,6,0,5,23.55980519996956,23.55980519996956,0.014900200068950653,[-0.4777777777777778],[0.45740740740740743],[1],[0],[0],[1.5308485999703407],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
7,0,7,0,5,25.10618450003676,25.10618450003676,0.01261880004312843,[0.23796296296296296],[0.26944444444444443],[1],[0],[0],[1.371682500001043],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
8,0,8,0,5,26.49636760004796,26.49636760004796,0.014669900061562657,[-0.12962962962962962],[0.12777777777777777],[1],[0],[0],[1.1276747999945655],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
9,0,9,0,10,27.654022700036876,27.654022700036876,0.02299880003556609,[0.005555555555555556],[0.39166666666666666],[1],[0],[0],[1.1059773999731988],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
10,0,10,0,5,28.779004900017753,28.779004900017753,0.017738400027155876,[0.11388888888888889],[-0.24351851851851852],[1],[0],[0],[1.2783149000024423],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
11,0,11,0,5,30.075798799982294,30.075798799982294,0.015145999961532652,[-0.21388888888888888],[0.4425925925925926],[1],[0],[0],[1.398191099986434],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
12,0,12,0,10,31.51036880002357,31.51036880002357,0.029180899960920215,[-0.3388888888888889],[-0.21944444444444444],[1],[0],[0],[1.6318825000198558],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
13,0,13,0,10,33.171288300072774,33.171288300072774,0.025478200055658817,[-0.34074074074074073],[0.4546296296296296],[1],[0],[0],[1.6707247000886127],['target'],934606,001,2022-09-29_19h06.52.832,visual search,2022.2.4,60.10092146615832,
